,language1_text,language2_text
1984227,"Nawara si Jesus do asa ka kavahayan do Judea a mayngaran so Bethlehem do tiempo no kapaypatol ni Herodes. As mian sa o mahahakay a masosolib do kapakaparin no vitovitohen a nawara do Jerusalem a yapo do kavahayan a machimangket do twawan no araw a mangaheahes a makavata sia, ",No kapeypanirsirngen da pa si Helote am matazak a tao si Yeso do Podiheng a ili do Yotay. O manitanita rana so mata no hanit a nimapo do teyhesa ka ili am mangay sira do Yelosaleng. 
1984228,"""Dino paro o yanan no metdeh aya a nawara a patol da no Judeo, takwan do kayan namen pa do kavahayan namen am navoya namen o vitohen aya a sinyal do nakawara narana, as dawa tayto kami a mangay a omanianib sia."" ","Maniring sira am, ""Wanjin jya o nimatazak a tao a panirsirngen no tao do Yotay. Ta namen nimacita o mata no hanit do daddan no araw a yongkad no kanimatazak na rana. Ori o namen nyai a yaomraralay nya."" "
1984229,Do nakadngey da sia ya da Patol Herodes kano tawotawo do Jerusalem am oyod da chinagolo. ,Mamizing na no panirsirngen a meyngaran si Helote am marahet o onowned na. Akman sang sira o tao do Yelosaleng a mamogaw. 
1984230,"Dawa pinatawag sa ni Herodes o atavo a maato sa a papali kano eskriba a sira so masosolib do nanawo da no Judeo as kahes na nia, ""Dino o logar a kawaran no Mesias aya."" ","Makarahan am lovoten na ni Helote o panipanirsirngen no mapatanatanang so nakem da si Ama ta do to a kano mangnanao no iwawalam na ni Ama ta do to. Maniring jira am, ""Do wanjin o na katazakan no Misayya a ipanci da no panoyonoywan na so ciring ni Ama ta do to no kakwa."" "
1984231,"Tominbay sira as kavata da sia, ""Do kavahayan no Bethlehem do Judea akma so pinatolas no profeta kaychowa, ","Maniring sira am, ""Do Podiheng a ili do Yotay. Ta o yadomket a ciriciring da no panoyonoywan na so ciring ni Ama ta do to am, "
1984232,"'Bethlehem a kavahayan ni Juda am oyod a maimportante a kavahayan, ta yapo anti dia o asa a ka manyokoyokod a mapawnot so tawotawo ko sa a Israel.'""","'Inyo rana tao a meyvahay do Podiheng a macinapnap do Yotay am tana ney likey na o ili nyo am ney manhama kamo a tao. Ta amyan jinyo so asa ka tao a makayokod ninyo a Isedi a tao.'"""
1984233,Pinatawag sa ni Herodes o masosolib saya a mahahakay as do kasirasira na am inahes na dira an ango o mismo a tiempo a nakavoya da sia o vata dawri a vitohen. ,Makarahan am lovoten na ni Helote a panirsirngen o manitanita so mata no hanit a tao a kapanahes na nya jira so araraw na no nipeytotwaw no mata no hanit ang. 
1984234,"As do nakapanmo narana sia ni Herodes am tinovoy na sa do Bethlehem as kayokoyokod na nira a makavata sia, ""Mangay kamo as kapakapia nio sia chitahen o metdeh aya as an mavoya nio am mayvidi kamo pa omvahevahey sia diaken tapian iyangay ko pa sia anianiven."" ","Makarahan am ipanci na sira mangay do Podiheng. Maniring jira am, ""Pakapyahen nyo pala kalahen o kanakan ang. Si makala nyo am ipanci nyo jyaken, ta mangay ko a iraralay."""
1984235,"Do nakadngey da so vinata no patol aya am inangay da chitahen o metdeh aya. As do katori da do rarahan am minirwa da mavoya o vitohen awri a nia so napawnot sira a manda do nakabhes na do sinmo no vahay ori a yanan no metdeh aya, ",Mamizing da o ciring na am mangay rana sira. Makarahan am to da cita pa tomwaw o mata no hanit a nimacita da do daddan no araw a meypalanginan nira to meynonozey a mangay a someyked do nikatazakan a tao no kanakan ang. 
1984236,as oyod a rakoh o nakasoyot da.,So nisaray da makacita so mata no hanit ang.
1984237,"Do nakapakarapit da do Bethlehem am nangay sa do vahay awri a yanan da Jesus kano ina na a si Maria as do nakavoya da so metdeh aya am domnogod sa a omanib sia. As do kaywang da so iregalo da sia am tomnoroh sa so vohawan, insenso kano mira. ",Somdep sira do vahay am macita da o kanakan a kano ina na si Madiya. Am ori o nilogod da amraralay no kanakan ang. Makarahan am babahen da rana o nipalolo da ovay a kano mahangno a haneng a kano makdeng a kosozi a yazaw da sya. 
1984238,Niyokoyokod sa no Dios do asa ka tayenep do kadi darana mapavoyan di Herodes as do kapayvidi darana do kavahayan da am nanahan dana sa do matarek a rarahan.,"Meysinaoli sira o manitanita so mata no hanit a tao am patareken na o rarahan da ni Ama ta do to, do kanimapatateynep na jira a jyangay ji Helote a panirsirngen."
1984239,"Do nakakaro darana no masosolib saya a tawo am nawara di Jose o asa ka anghel no Dios do tayenep na a makavata sia, ""Jose, mayvangon ka as kahap mo so metdeh aya as kano ina naya as kapayayo mo nira do Egipto, ta chitahen ni Herodes a dimanen o metdeh aya as mavidin kamo daw a manda do kavata ko sia o kakaro nio daw."" ","Mangay rana sira am patateynepan na si Yoseyvo no tinsi ni Ama ta do to. Maniring jya am, ""Peyvangon rana kangay mo nira meyina a somazok do Ayci, kato nyo ngyanan dang a meyvahay mangay no ipanci ko na inyo a komaro do dang. Ta si Helote am na kalahen o kanakan a yawakwaken."" "
1984240,"Dawa do mahep ori am nayvangon si Jose as kahap na so metdeh aya kano ina naya as kangay da do Egipto, ","Am ori o nyangayan na ni Yoseyvo nira meyina do Ayci a meyvahay do dang, "
1984241,"as kavidin da daw a manda do nakadiman ni Herodes. Do niaya a naparin am nakatongtong o Chirin no Dios a pinatoyo na do asa ka profeta, ""Tinawagan ko o manganak koaya a komaro do Egipto.""","mangay do nikawakwak ni Helote. O icyakman na sang no vazay am pangononongan na o mina ciring no panoyonoywan na so ciring ni Ama ta do to. Ta maniring am, ""Nipeysinaoli ko o anak ko a apo do Ayci."""
1984242,"Do nakapanmo sia ni Herodes o nakawtap da dia no masosolib saya a tawo am oyod a naket as pinanyokoyokod na o kadiman sira so atavo a kametdehan a mahahakay do Bethlehem as kan do omdivon sa a logar a mayawan so dadwa kano maypahbo, ta nia sa o kametdehan a nawara do nakarahan no nakatwaw no vitohen ori a navoya da no masosolib saw a tawo. ","Katenngan ni Helote o kanimlita da jya no manitanita so mata no hanit am meyoyaoya. Am ori o nipanovoy na so itaysang a mangay omwakwak so anak da mahakay a mablit rana adwa so kakawakawan a kano jyablit pa so ikadwa so kakawakawan a minalikey do Podiheng a kado peycyeylilyan na, do gazagazan na so araraw no nipakacittan da so mata no hanit. "
1984243,Do akmaya sia a malotod a mando ni Herodes am nakatongtong o vinata na kaychowa ni profeta Jeremias:,"O icyakman na sang am todey mangononong o mina ciring no panoyonoywan na so ciring ni Ama ta do to a meyngaran so Yedimi. Ta maniring am, "
1984244,"""Tayto a madngey o maymetmet a katanyis do Rama, ta si Raquel am tanyisan na o nakadiman da no kametdehan na sa as mapabhes ava o vinovinoho na.""","""Makamizing do Lama so sivosivovoong ni Reyci a omlololos a amlavi do ananak da a jya nimakey a padnadnahen da so pahad, do kanimamimin no anak da niwakwak da."""
1984245,"Amna do nakarahan no nakadiman ni Herodes am minirwa a mawara o asa ka anghel no Dios di Jose do Egipto do tayenep na a makavata sia, ",Mawakwak si Helote am patateynepan no tinsi ni Ama ta do to si Yoseyvo do Ayci. 
1984246,"""Mayvangon ka as kahap mo so metdeh aya kano ina naya as kapayvidi nio do Israel, takwan nadiman dana o tawo ori a nakey a omdiman so metdeh aya."" ","Maniring jya am, ""Peyvangon rana, kangay mo nira meyina do Isedi. Ta yarana nimawakwak o yapwa amwakwak si Yeso."" "
1984247,Dawa nayvangon si Jose as kahap na so metdeh aya kano ina naya as kapayvidi darana do Israel. ,Makarahan am ipeysinaoli na rana ni Yoseyvo sira meyina yangay do Isedi. 
1984248,"Amna madngey na o ka si Arkelao no nachitadi do ama naya a si Herodes a maypatol do Judea am mamo a mangwan daw. As do tayenep na am vinata no Dios di Jose o kangay da do Galilea. Dawa nangay sa a matda do Nazareth do provinsia aya no Galilea, ","Ikongo do nimamizing na o anak ni Helote a meyngaran so Acilaw a omlit do ama na a panirsirngen no Yotay, am ori o ji na nimangai do Isedi. Am ori o nipatateynepan na pa ji Yoseyvo ni Ama ta do to. So nipananawan na no angayan da. Ori o nyangay da tomayo do Cyadidi. "
1984249,"as kavidin da do kavahayan aya do Nazareth. Do niaya aya am nakatongtong o vinata no profeta a komapet sia, ""Tawagan sia anti so iNazareth.""","O meyngaran so Nasale a ili am ori rana o nikaplinan da meyvahay. O icyakman na sang no vazay am todey mangononong o mina ciring no panoyonoywan na so ciring ni Ama ta do to. Ta maniring sira am, ""Iya rana am ngaranan da tao do Nasale."""
1984250,"Do tiempo ori kanaw am nangay si Juan Bawtista a mapawnonong so chirin no Dios do desierto do Judea a makavata sia, ",No kano nang am nimangay o nimanaktak a si Yowani do kabwan no nihakawan no tao do Yotay a mangnanao. 
1984251,"""Manehseh kamo as katadichokod nio do pakagatogatosan nio, ta nawara dana o tiempo no kapaypatol no Dios."" ","Maniring am, ""Mamlis kamo na, ta yarana makeykai o na katalamozong ninyo ni Ama ta do to."" "
1984252,"Si Juan aya o vinata ni profeta Isaias kaychowa do nakavata na sia, ""Mian o asa ka mangononong do desierto a makaliak a makavata sia, 'Mayprepara kamo do kawara no Apo taya. Pakapiahen nio o logar a panahanan na.'""","O mina ciring no panoyonoywan na so ciring ni Ama ta do to a meyngaran so Isayya am si Yowani o peycirngan na sya. Ta maniring am, ""Amyan so tao a amlololos do kabwan no nihakawan no tao a manci no, 'Inyo rana am wadwaden nyo o rarahan no Panirsirngen ta. So katazineng na rana no pangonongan na.'"""
1984253,As no ayoayob ni Juan am nihneb a boboh no kamelyo. Maytahed so kodit as no kanen na am kavaga kano polot. ,O ayob na ni Yowani am niparing a bobow no baka. O abtek na am kolit no baka. O kanen na am zozon a kano maganinem a amyan do vahay no tapipi. 
1984254,"Oyod sa aro o nangay a domngey sia a yapo do Jerusalem, do matatarek sa kavahayan do provinsia no Judea as kan do omdivon sa a kavahayan do Rio Jordan. ",Nimai pa sira o tao a apo do Yelosaleng a kado peycyeylilyan na do Yotay a kano macisngen so ili do ayo a meyngaran so Yotan a malovot do tangain na. 
1984255,Sira o tawotawo saya am nanehseh sa as kapaykonfisal da no gatogatos da as nibawtismoan sa ni Juan do Rio Jordan aya.,Ipanci da o raraten da. Am ori o nitaktakan na jira ni Yowani do meyngaran so Yotan a ayo.
1984256,"Do kavoya sira ni Juan o Fariseo kano Saduceo saya a machitaha a mapabawtismo am vinata na dira, ""Inio a akmay boday. Do vata nio paro as makalibri kamo do kastigo no Dios an mapabawtismo kamo? ","Macita ni Yowani o aro a tao a macyagom do Vadisay a kano macyagom do Satokay a mai a manci ni Yowani a tomaktak jira am pamizngen na sira. Maniring jira am, ""Inyo a yakmey mavowaw, sino ipanci jinyo o yanyo katayo no oyaoya na ninyo ni Ama ta do to. "
1984257,No mayanong nio a parinyen am no kapavoya nio no nakasivog nio a nanehseh no gatogatos nio do katadi do pariparinyen nio sa. ,Ta si mamlis kamo na so icicirawat am ori o ikanoyong nyo rana yana nikomaro do peyraratenan nyo. 
1984258,"Asna no kasaray nioava nia o kapaytayatayabo dinio ni Abraham, ta an ichakey no Dios am maparin na payvadiwen o bato saya dia a tayatayabo ni Abraham. ","Ji nyo mancyan o kapakaliklik nyo so peyoyaoyyan na ni Ama ta do to, do nyo kapeyineynapo si Apolahan. To ko na macitangayan jinyo am makamaog si Ama ta do to do vato ito so sivosivovoong na ni Apolahan. "
1984259,As tiban nio ta no hosga no Dios am akmay kotaw a tayto dana a machitangked do kayo aya a di makasi a logar a akteven as kano sosohan. ,Yana mazomtad o zaig do atngeh no kayo. O ji malasi a kayo am miminen na atbahen a kapasleb na sya do apoy.
1984260,"Bawtismoan koynio no danom do nakapanehseh nio pero no ito aya a mawara a manawnawdi kaniaken am rakorakoh kano matoato o ipakapamarin na, ta aran no kapayrara ko so sandalyas na am mayanong akoava. Iya anti o ombawtismo dinio no Masanto a Espirito as kano apoy. ",Ko taktakan inyo no ranom do nyo na kapamlis. Am o manownowji pa ka nyaken a yamai am taktakan na inyo no Seyzi a kano apoy. So ikaizaizay na pa ka nyaken. So ji ko macingai jya. 
1984261,"Takwan mawara anti sia a mapaychabinbin so tawotawo a akmay maywakwak a mapaytaywawa so pinanasan kano votoh na, ta pasdepen na anti a onongan o votoh na asna no pinanasan aya am temtemen do diawsep a apoy.""","Yamyan do lima na so ipaninigi. So cigyan na so kadai a kapangay na so pipya kadai do peyvokavokan, kasleb na so ata na do jyahesep a lila no apoy."""
1984262,Do kwanasaw am nangay si Jesus a mapabawtismo di Juan do Jordan do nakayapo na do Galilea. ,No kanang am nimapo si Yeso do Cyadidi a kapeypangay na do Yotan a ayo a mangay ji Yowani a manci nya tomaktak jya. 
1984263,"Amna nipenpen sia ni Juan a makavata sia, ""Mapabawtismo ka paro diaken an yaken pa o mayanong a bawtismoan mo?"" ","Am naknakmen ni Yowani o kazazat na do nakenakem ni Yeso. Maniring ji Yeso am, ""Beken a yaken o taktakan mo a. Ikongo mo yai jyaken."" "
1984264,"Tinbay ni Jesus, ""Bawtismoan mo yaken, ta mayanong o kawnot ta dia o atavo a yokoyokoran niaten no Dios."" Dawa nanganohed si Juan as kabawtismo na sia. ","Maniring si Yeso jya am, ""To ta macyozai o akman sya vazay an. Ta o ikakman na sya am ahapen ta o vazay ni Ama ta do to."" Makarahan am to na rana amya ni Yowani a taktakan si Yeso. "
1984265,"As do katwaw ni Jesus do danom do nakatayoka na sia bawtismoan ni Juan am naywang o hanyit as kavoya na sia o Espirito no Dios a akmay voyit a gomtin sia, ",Meypapowpow si Yeso apo do ranom am todacyangi o hanit. So nipakacita na so Seyzi na ni Ama ta do to a akmey hato a meyhekas a someyked do kataotao na. 
1984266,"as kayan no liak a yapo do hanyit a makavata sia, ""Niaya o ichaddaw ko a Manganak a oyod ko a ipakamia.""","Meyratateng am amyan so ciring a apo do teyngato. Maniring am, ""Iya rana ya am Anak ko a ko tey kaglaw. So yako sarayan nya."""
1984267,Do nakarahan no nakapabawtismo naya am pinawnot sia no Masanto a Espirito a mangay do desierto a dawri so tentasionan sia ni Satanas. ,Makarahan am ipeypalanginan no Seyzi si Yeso a yangay do kabwan no nihakawan no tao a littan ni Satan. 
1984268,As do nakarahan no apat a poho a karaw kano ahep a kabo no chinan na am napteng si Jesus. ,Makasikapat (40) so araraw si Yeso a jya nikoman am maliliw na o kakcin na. 
1984269,"Nangay sia si Satanas as kavata na sia, ""An ara oyod o kaimo no Manganak aya no Dios am payvadiwen mo o bato saya a tinapay."" ","Ori o nyangay ni Satan ji Yeso. Maniring jya am, ""No ka manoyong a Anak no Tao do to am pancyan pala o aro a vato a kapeyvaliw na a myanpaw."" "
1984270,"Amna tominbay si Jesus a makavata sia, ""Vatahen no nakatolas a Chirin no Dios, 'Voyvoh ava o kanen a ichaviay no tawo ta no atavo a vatahen no Dios.'""","Tovisan ni Yeso am, ""O ciring do Seysyo am, 'Beken a kanehen o ikavyay no tao, ta makdekdeng pa o Ciriciring na ni Ama ta do to a ikavyay no tao.'"""
1984271,"Kwanasaw am pinayvan na pa sia ni Satanas a mangay do totok no templo do Jerusalem, ",Makarahan am yangay na pa ni Satan si Yeso do Yelosaleng a kangay na nya do toktok na no rako a panaralayan da. 
1984272,"as kavata na sia di Jesus, ""An ara imo o Manganak no Dios am mayjogtos ka, ta no vatahen no nakatolas am, 'Tovoyen na sa anti o angheles na a machonong dimo. Talahen daymo do tanoro da tapian di ka karawan do kabatoan.'""","Maniring jya am, ""No ka manoyong a Anak no Tao do to am okso pala do teyrahem ito. Ta o ciring do Seysyo am, 'Manovoy o Tao do to so tinsi na a mangay omzat jimo. So tazapyan da jimo no lima da kaji na meyzazan no ai mo do vato.'"""
1984273,"Tinbay ni Jesus, ""Vatahen pa no nakatolas o, 'Hawahawayen moava tentasionan o Dios a Apo mo.'""","Tovisan ni Yeso am, ""O ciring do Seysyo am, 'Ji nyo ngileylamdama o Panirsirngen nyo a Tao do to nyo.'"""
1984274,"Do katayoka na nia am pinayvan sia ni Satanas a mangay do oyod a makarang a tokon as kapavoya na sia atavo o maavid sa a paypatolan no mondo aya, ",Am ori o nitanggahan na ni Yeso ni Satan do makarang a tokon a kapacita na no peykamahamahatawan na kano aro a masamasaod no karawan. 
1984275,"as kavata na sia di Jesus, ""Itoroh ko sira ya atavo dimo an domogod ka a omanianib diaken."" ","Maniring si Satan am, ""No si meylilitod ka amraralay nyaken am to ko na mimina o makakaday a itoro jimo."" "
1984276,"""Komaro ka dia so nyeng,"" kwana ni Jesus, ""takwan no vatahen no nakatolas am, 'Voyvoh o Apo mo a Dios o anianiven mo as kano kaiya no mavoyvoh a payserbian mo.'""","Tovisan ni Yeso am, ""Angay rana mo Satan! Ta o ciring do Seysyo am, 'Iraralay nyo o Panirsirngen a Tao do to nyo. So ika iya na no iraralay nyo. Ta abo o ikararwa na a iraralay nyo an.'"""
1984277,Do diaya am komnaro si Satanas as nawara sa o angheles a somidong si Jesus.,Makarahan am karwan na rana si Yeso ni Satan a kai no aro a tinsi ni Ama ta do to a somidong sya.
1984278,Do kwanasaw do nakadngey sia ni Jesus o nakakalaboso da si Juan am nangay do Galilea. ,Mamizing na ni Yeso si Yowani a nipteng da do pamemtengan am meysinaoli do Cyadidi. 
1984279,Kwanasaw am komnaro do Nazareth do provinsia aya no Galilea as kangay na a matda do kavahayan no Capernaum a masngen do taaw no Galilea do mangket na do sakop no kavahayan no Zebulon kan do Naftali. ,"Am ji rana meyvahay si Yeso do Nasale, ta nimangay rana a meyvahay do Cyapaynong. O ili rana ori am amyan ori do Sipolon a kado Navotadi a macisngen do rako a meybebneng a ranom a meyngaran so Cyadidi. "
1984280,"Do niaya aya am nakatongtong o vinata kaychowa ni profeta Isaias, ","O icyakman na sang am todey mangononong o ciring no panoyonoywan na so ciring ni Ama ta do to a meyngaran so Isayya. Ta maniring am, "
1984281,"""No tawotawo do kavahayan sa do Zebulon kan do Naftali do mangket na do taaw do katovang do Rio Jordan, yanan da no Hentil do Galilea, ","""O tao do Sipolon a kado Navotadi a macisngen do rako a meybebneng a ranom a kado meyngaran so Yotan a ayo a yanan da no beken a tao do Yotay do Cyadidi am"
1984282,"aran nayendes dana sa do kasarisarian a mangwan do kararayawan da am tayto dana sa kasehdangan sichangoriaw.""","o amyan do yakasarisaryan a manyahey no kawakwak da am macita da rana o na cirain ni Ama ta do to a mapatazadang sira."""
1984283,"Nakayapo kanaw am somnitnan si Jesus a mananawo a makavata sia, ""Manehseh kamo as katadichokod nio do pakagatogatosan nio, ta nawara dana o tiempo no kapaypatol no Dios.""","Nimyapo no kanang o kapeylimwang na rana ni Yeso no nanao na. Maniring am, ""Karwan nyo o peyraratenan nyo, ta yarana makeykai o yana katalamozong ninyo ni Ama ta do to."""
1984284,Do asa karaw do kayam na do kanayan no Galilea am navoya na si Simon a tawagan da so Pedro kano kakteh na a si Andres a tori a managap ta niaya o kaviayan da o kapangamong daya. ,Mangonong si Yeso do pasalan no rako a meybebneng a ranom a ngaranan da Cyadidi am macita na o rarwa ka tao a mangahangahahap a ngaranan da si Pite a si Simong a kano kakteh na a meyngaran so Antele a amzoyo no tawaz da. 
1984285,"Vatan sia ni Jesus dira, ""Karoan nio na o kapangamong nioaya asna omonot kamo na diaken, ta parinyen koynio a mapawnot diaken so tawotawo."" ","Maniring si Yeso jira am, ""Macilolo kamo jyaken, ta nanawen ko inyo. So icyakma nyoy mangahahap a tao a mapanop so tao."" "
1984286,Kadngey da sia ya am nanyeng da karoan o sagap dawri as kawnot darana di Jesus.,Mamizing da am to da rana ngaroi o tawaz da a macilolo ji Yeso.
1984287,"Kwanasaw do kayam na pa am navoya na sa Zebedeo kanira no kamanganakan na a sa Santiago kani Juan do tataya da a omayoma so sagap da. Tinawagan sa ni Jesus, ",Alikey pa o nyalaman na am macita na ni Yeso o anak na ni Sipitay a meyngaran so Yake a kano kakteh na si Yowani a kano ama da a si Sipitay a tomonod so nyayoma da tawaz do tatala da. Macita na sira ni Yeso am tawagan na sira. 
1984288,as nanyeng da karoan o tataya daw as kano ama da as kawnot darana di Jesus.,Nimakeykai sira komaro do tatala da kano ama da a macilolo rana ji Yeso.
1984289,As nidivon ni Jesus o atavo sa a kavahayan do Galilea a mananawo do kakpekpehan da sa a abnekan so sinagoga as pinawnonong na dira o Evanghelio aya no kapaypatol no Dios as katovatova na pa sira so magaganit kanira no mian so didiwen. ,Nilivolivon ni Yeso o peycyeylilyan na do Cyadidi a kapangnanao na so tao do peyneynozyan da do dang a meylimwang no italamozong na ni Ama ta do to a kapangiwakwak na so meykeyngeyngen a tao do dang. 
